ordem,id,area,title,status,progress,owner,priority,cost,custo_comprado,due,next,notes,x,y,metadata
11,07B,Componentes jato/pintura,Nova área para os Equipamento/componentes da cabine de jato e pintura,EM ANDAMENTO,0,Gabriel Bartz,Média,12160.4,12160.4,2026-05-05,1- Layout aprovado no dia 03/02. A ser realizado o detalhamento de execução. Detalhamento a ser apresentado até 20/02,"02/02/2026: Área selecionada para realocação dos equipamentos/componentes das cabines de jateamento e pintura.
Fazer nova revisão da planta baixa junto a prefeitura, pois essa área é considerada como ""área verde"". (Projeto Legal)
26/02/2026: Nova área já foi limpa, e escavada, aguardando a chegada dos materiais para dar continuidade na parte civil com posterior montagem dos dutos e movimentação dos componentes do equipamento.",25,42.5,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 15, ""raw_priority"": null, ""raw_status"": ""EM ANDAMENTO""}"
12,07C,Laboratório Pull-Off,Laboratório de inspeção de pintura (Pull-Off),AG. APROVAÇÃO,0,"PAULO DAVI
MARCUS
ALESSANDER
RICARDO",Alta,509271.55,0.0,2026-05-30,"1- Cotação realizada, aguardando a aprovação do pedido.","02/02/2026: Após a movimentação de todos os equipamentos/componentes da cabine de jato e pintura, mobilizar um laboratório de inspeção de pintura
12/02/2026: Espaço já demarcado para o laboratório de inspeção de pintura, aguardando aprovação do pedido.",33.8,58.7,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 16, ""raw_priority"": null, ""raw_status"": ""AG. APROVAÇÃO""}"
13,08,Materiais nobres,Galpão de ligas especiais,AG. COTAÇÃO,0,SORIN,Alta,0.0,0.0,2026-05-18,"1- Pendente análise sobre o pórtico ou monorail.
2- Após a definição, deverá ser realizado a pintura em epoxi com as devidas marcações.",02/02/2026: Verificar o melhor custo x beneficio para implementação de um pórtico ou monorail para movimentações e a melhoria de uma área de segragação de material.,27.7,48.3,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 17, ""raw_priority"": null, ""raw_status"": ""AG. COTAÇÃO""}"
14,09,SMS / Treinamento,Construir o escritório para o pessoal do SMS | Treinamento.,AG. APROVAÇÃO,0,"VALTER
MARCUS
ALESSANDER
RICARDO",Média,687522.0,0.0,2026-05-22,"1- Já temos alguns orçamentos, seguem aguardando aprovação.
2- Necessario recurso externo para a fabricação das tesouras.","02/02/2026: Realizar orçamentos para construção do escritório.
12/02/2026: Verificar recurso financeiro para execução.",75.5,74,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 18, ""raw_priority"": null, ""raw_status"": ""AG. APROVAÇÃO""}"
15,10,Refeitório / Escritório,Ampliação do refeitório,DEMANDA CONCLUIDA,100,DEMANDA CONCLUIDA,Média,0.0,0.0,2026-03-25,DEMANDA CONCLUIDA,02/02/2026: Ampliar o refeitório para acomodar o crescimento do efetivo da base.,84,52.5,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 19, ""raw_priority"": ""Conc."", ""raw_status"": ""DEMANDA CONCLUIDA""}"
16,11,Logística,Novo escritório da logística,AG. COTAÇÃO,0,VIRGILIO,Média,0.0,0.0,2026-05-12,1- Realizar orçamento de material,02/02/2026: Realocar o escritório da logística proximo ao setor 01 para possibilitar um fluxo de processos com as etapas posteriores.,71.5,80.5,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 20, ""raw_priority"": null, ""raw_status"": ""AG. COTAÇÃO""}"
17,12,Expedição,Tapagem da área de expedição,AG. COTAÇÃO,0,"VIRGILIO
VALTER",Alta,0.0,0.0,2026-05-12,"1- Área de tapagem foi ampliada, verificar se o orçamento feito contempla esse novo espaço.",02/02/2026: Orçamento da cobertura já realizado.,20.2,80,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 21, ""raw_priority"": null, ""raw_status"": ""AG. COTAÇÃO""}"
18,13,Almoxarifado / Recebimento,Ampliação do almoxarifado / mezanino,AG. PROJETO,0,"VIRGILIO
GABRIEL BARTZ",Média,27500.0,0.0,2026-06-20,2- Aguardando projeto para levantamento de material 3-Subcontratação de cálculo estrutural (galpão) Sordi,02/02/2026: Proposta de execução externa já realizada,78,40,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 22, ""raw_priority"": null, ""raw_status"": ""AG. PROJETO""}"
19,16,Mecânica / Manutenção,Layout da mecânica/manutenção,AG. PROJETO,0,"VIRGILIO
GABRIEL BARTZ",Baixa,1320.0,1320.0,2026-06-30,1- Verificar projeto.,03/02/2026: Verificar projeto.,71.8,31.5,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 23, ""raw_priority"": null, ""raw_status"": ""AG. PROJETO""}"
20,15,Suprimento,Prateleiras e paleteira elétrica | SUPRIMENTO,AG. APROVAÇÃO,0,"VIRGILIO
MARCUS
HERMANN
ALESSANDER
RICARDO",Média,33891.56,21891.56,2026-04-28,"Aguardando aprovação do pedido da prateleira, paleteira e fechaduras.","03/02/2026: Já existe a cotação do material necessario.
12/02/2026: EMITIR OC.",76.8,58.5,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 24, ""raw_priority"": null, ""raw_status"": ""AG. APROVAÇÃO""}"
21,14,Vestiário,Ampliação do vestiario feminino/masculino.,EM ANDAMENTO,0,"VALTER
MARCUS
ALESSANDER
RICARDO",Média,59207.6,59207.6,2026-05-18,"Tesouras sendo fabricadas, aguardando aprovação do pedido de material para realizar a montagem.","09/02/2026: Está sendo realizado o estudo de ampliação do vestiario feminino e masculino.
26/02/2026: Execução em andamento, empresa FORTENGENHARIA realizando a montagem das tesouras dentro da base STEP, aguardando aprovação do pedido de compra para o restante do material para iniciar a ampliação.",70.2,44,"{""source"": ""Melhorias base STEP 25-05-26.xlsx"", ""source_sheet"": ""Planejador de Projetos"", ""source_row"": 25, ""raw_priority"": null, ""raw_status"": ""EM ANDAMENTO""}"
